Services,Description,Date,Tender Number,Department,Tender Type,Province,Date published,Closing date,Place where service will be required,Special conditions,Contact person,Contact email,Contact phone,Contact fax,Briefing Session,Is briefing required,Briefing date and time,Briefing venue,Tender documents
Services: Professional,SASSA: 31-23-GA-KZN: FOR THE ACCREDITATION OF HEALTH PRACTITIONERS REGISTERED WITH HEALTH PROFESSIONALS COUNCIL OF SOUTH AFRICA (HPCSA) TO CONDUCT MEDICAL ASSESSMENT FOR SASSA KWAZULU NATAL FOR THE PERIOD OF THIRTY SIX (36) MONTHS.,18/08/2023,SASSA: 31-23-GA-KZN,South African Social Security Agency,Request for Information,KwaZulu-Natal,18.08.2023,07.09.2023,Reception Area (Ground Floor)  - No. 1 Bank Street   - Pietermaritzburg - 3201,as per the TOR,Mr LG Shandu,LuckyGS@sassa.gov.za,033-846-9532,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=31da9619-d61c-444c-8cbd-ccdfca90d5c1.pdf&downloadedFileName=ADVERT+PARK+AMENDED+%281%29.pdf
Construction,CONTRUCTION OF THOHOYANDOU LANDFILL SITE BOUNDARY WALL,18/08/2023,16/2023/2024,Thulamela Local Municipality,Request for Bid(Open-Tender),Limpopo,18.08.2023,08.09.2023,"THOHOYANDOU CIVIC CENTRE,OLD AGRIVEN BUILDING - THOHOYANDOU - THOHOYANDOU - 0950",N/A,MR SITHOLE D,SitholeD@thulamela.gov.za,015-962-7676,N/A,Yes,Yes,"Tuesday, 29 August 2023 - 11:00",THOHOYANDOU LANDFILL SITE MAIN ENTRANCE,https://www.etenders.gov.za/home/Download/?blobName=0b1047ed-52cb-45aa-a83d-d6aa4bd59c29.pdf&downloadedFileName=CONSTRUCTION+OF+THOHOYANDOU+LANDFILL+SITE+BOUNDARY+WALL.pdf
"Professional, scientific and technical activities",Bid to appoint a panel/category of supplier/s for provision of scientific and technical services to support Necsa for a period of 3 years.,18/08/2023,FIN-SCM-TEN-0026,South African Nuclear Energy Corporation Limited,Request for Bid(Open-Tender),North West,18.08.2023,21.09.2023,,N/A,Joseph Rasakanya,Joseph.Rasakanya@necsa.co.za,012-305-6080,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=4445b927-c07d-4e38-9a82-348c978449d0.DOCX&downloadedFileName=FIN-SCM-TEN-0026+-+Scientific+and+Technical+Services+Panel_Final.DOCX, https://www.etenders.gov.za/home/Download/?blobName=2ffbe07f-259b-41c6-a008-43b74194a072.doc&downloadedFileName=2.+SBD+FORMS+%281%29.doc, https://www.etenders.gov.za/home/Download/?blobName=cd35dc43-67ad-440b-b39a-7fccaa2e6559.pdf&downloadedFileName=3.+NECSA+TERMS+AND+CONDITIONS+OF+CONTRACT+REV+3+..pdf, https://www.etenders.gov.za/home/Download/?blobName=9a532fdd-e980-4522-b519-b19948ea6807.doc&downloadedFileName=SCM-Bid+documents+SBD+3.3.doc, https://www.etenders.gov.za/home/Download/?blobName=949358ba-abb3-40c4-be4a-bc0ff4ca281f.doc&downloadedFileName=SCM-Bid+documents+SBD+8.doc, https://www.etenders.gov.za/home/Download/?blobName=1fc78c78-0a97-44e1-ad70-c7e51dc2bb99.pdf&downloadedFileName=4.+Necsa+Confidentiality+Agreement.pdf, https://www.etenders.gov.za/home/Download/?blobName=cab45956-eaa8-48f9-91e4-d98bcd66fb60.pdf&downloadedFileName=5.+SHEQ-INS-0100+Rev+9.0_NECSA+Safety%2C+Health+and+Environmental+Policy.pdf, https://www.etenders.gov.za/home/Download/?blobName=0bb2754c-fc49-462a-82a6-f8d9a4b85995.doc&downloadedFileName=SCM-Bid+documents+SBD+9.doc"
Civil engineering,"THE APPOINTMENT OF A SERVICE PROVIDER WITH A CIDB GRADING OF 2CE OR HIGHER TO CONSTRUCT A BOREHOLE FULLY EQUIPPED WITH PUMP, FILTRATION AND STORAGE TANKS AT THE NATIONAL RESEARCH FOUNDATION HEAD OFFICE IN BRUMMERIA, PRETORIA.",18/08/2023,NRF/CORP EM RFQ 02B/2023,National Research Foundation,Request for Quotation,National,18.08.2023,04.09.2023,"Meiring Naude Road, Pretoria, Gauteng, 0184 - Brummeria - Pretoria - 0184","Email address for submission: 
RFQ@nrf.ac.za 

Electronic Submission Only
- No physical or hand-delivered submissions will be accepted.
- Bidders must use the bid reference number: NRF/CORP EM RFQ 02B/2023 as the subject line when submitting proposals.",Vutivi Sithole,VS.Sithole@risa.nrf.ac.za,012-481-4263,N/A,Yes,Yes,"Tuesday, 29 August 2023 - 11:00",National Research Foundation Auditorium,https://www.etenders.gov.za/home/Download/?blobName=e25bcafd-d84a-4081-8a4e-c80d00ed3e14.pdf&downloadedFileName=NRF+Quotation+Invitation+Borehole+Installation+vfinal.pdf
Scientific research and development,Research Study on Gambling Prevalence and Problem Gambling Incidence,18/08/2023,CB022324,Western Cape - Gambling and Racing Board,Request for Bid(Open-Tender),Western Cape,18.08.2023,15.09.2023,100 Fairway Close - Parow - Cape Town - 7500,N/A,Simphiwe Yende,simphiwe@wcgrb.co.za,021-480-7465,N/A,Yes,Yes,"Friday, 01 September 2023 - 11:00","100 Fairway Close, Parow, 7500",https://www.etenders.gov.za/home/Download/?blobName=04f27479-c8f7-461e-9a09-e3d848364fb1.pdf&downloadedFileName=CB022324+Tender+Document+Research+Study.pdf
Advertising and market research,Panel of  Media Buying Companies to Provide Media Buying Services for a Period of 36 months,18/08/2023,LTA004-23/24,Limpopo - Limpopo Tourism Agency,Request for Bid(Open-Tender),Limpopo,18.08.2023,08.09.2023,N1 Main Road - Southern Gateway - Polokwane - 0699,N/A,Jerry Mamabolo,jerrym@golimpopo.com,082-566-4330,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=bf63735c-7a4f-4031-8e71-34af8a7f0004.pdf&downloadedFileName=LTA004-23-24+PANEL+OF+MEDIA+BUYING+COMPANIES.pdf
Services: Electrical,"APPOINTMENT OF CONTRACTOR FOR DESIGN, SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF INVERTOR BATTERY BACKUP / SOLAR SYSTEM IN FREE STATE PROVINCE REGION TWO (02) FOR THE PERIOD OF THREE (03) YEARS.",18/08/2023,19/1/9/1/21TB(23),South African Police Service,Request for Bid(Open-Tender),Free State,18.08.2023,15.09.2023,117 Cresswell Road - Silverton - Pretoria - 0184,Required CIDB grading of grade 5EP (Electrical Engineering Works - Infrastructure) or higher.,Kenneth Mohlala,MohlalaKK@saps.gov.za,012-841-7358,N/A,Yes,Yes,"Thursday, 31 August 2023 - 11:00","SAPS SCM Provincial Office Free State, 38 Fritzstokenstroom, East End, Bloemfontein, Free State Prov","https://www.etenders.gov.za/home/Download/?blobName=ad821468-c527-4d22-b0a8-23a8a82bef03.pdf&downloadedFileName=21TB%2823%29+page+50+to+99+of+146.pdf, https://www.etenders.gov.za/home/Download/?blobName=2b9627ad-1467-414a-a0bc-e874063402da.pdf&downloadedFileName=21TB%2823%29+page+01+to+49+of+146.pdf, https://www.etenders.gov.za/home/Download/?blobName=ea79044e-7be4-4739-a469-fd1ff4dd7cc1.pdf&downloadedFileName=21TB%2823%29+page+100+to+146+of+146.pdf"
Services: Electrical,"APPOINTMENT OF CONTRACTOR FOR DESIGN, SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF INVERTOR BATTERY BACKUP / SOLAR SYSTEM IN FREE STATE PROVINCE REGION ONE (01) FOR THE PERIOD OF THREE (03) YEARS.",18/08/2023,19/1/9/1/20TB(23),South African Police Service,Request for Bid(Open-Tender),Free State,18.08.2023,15.09.2023,117 Cresswell Road - Silverton - Pretoria - 0184,Required CIDB grading of grade 5EP (Electrical Engineering Works - Infrastructure) or higher.,Kenneth Mohlala,MohlalaKK@saps.gov.za,012-841-7358,N/A,Yes,Yes,"Thursday, 31 August 2023 - 11:00","SAPS SCM Provincial Office Free State, 38 Fritzstokenstroom, East End, Bloemfontein, Free State Prov","https://www.etenders.gov.za/home/Download/?blobName=ac2f0c53-d407-47d6-be58-0a5461781b2a.pdf&downloadedFileName=20TB%2823%29+page+01+to+49+of+148.pdf, https://www.etenders.gov.za/home/Download/?blobName=7326ce81-301f-4dda-b12e-12a3cfcf0c0c.pdf&downloadedFileName=20TB%2823%29+page+100+to+148+of+148.pdf, https://www.etenders.gov.za/home/Download/?blobName=6a75f7a2-b4e1-496a-b03c-5dcc41c5d52c.pdf&downloadedFileName=20TB%2823%29+page+50+to+99+of+148.pdf"
Financial and insurance activities,Appointment of a professional actuarial valuer to compile long service award liability (LSA) and post-employment medical aid subsidy liability (PEMA) in terms of GRAP 25 for the period of 3 financial year (re-advert),18/08/2023,51017-readvert,Nkangala District Municipality,Request for Bid(Open-Tender),Mpumalanga,18.08.2023,18.09.2023,2A Walter Sisulu Street - Middelburg - Mpumalanga - 1050,N/A,Mr. SK Mahlangu,mahlangusk@nkangaladm.gov.za,013-249-2025,013-249-2000,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=c7ed4392-7e80-4d90-a200-0c3b2c1da330.pdf&downloadedFileName=2+Contents+Notice+-print+White+paper.pdf, https://www.etenders.gov.za/home/Download/?blobName=2569555f-3b42-40a2-95a6-101ec3572704.pdf&downloadedFileName=7+Form+of+Offer+and+Acceptance+yellow+page-2.pdf, https://www.etenders.gov.za/home/Download/?blobName=3913c76a-2f88-4aad-8741-12fdbf56f8f6.pdf&downloadedFileName=3+Tender+data+print+on+pink+1.pdf, https://www.etenders.gov.za/home/Download/?blobName=7abd528b-a1f7-4351-b1ed-53caacf3c39b.pdf&downloadedFileName=3+Tender+data+print+on+pink+1.pdf, https://www.etenders.gov.za/home/Download/?blobName=d0dff55e-fe21-407c-aee7-827970a6d8dc.pdf&downloadedFileName=1+COVER+PAGE+-white.pdf, https://www.etenders.gov.za/home/Download/?blobName=ed7d2b48-147b-49cc-a13d-9b5773872725.pdf&downloadedFileName=11+Scope+of+Work+Blue+page.pdf, https://www.etenders.gov.za/home/Download/?blobName=bec61e5a-d7f7-4d3b-8c4d-a249a5c1ff65.pdf&downloadedFileName=8+Contract+Data.pdf, https://www.etenders.gov.za/home/Download/?blobName=78e882cd-072b-484b-8cd2-ab33d42fd152.pdf&downloadedFileName=10+Bill+of+Quantities.pdf, https://www.etenders.gov.za/home/Download/?blobName=7d126f49-46cb-45f7-a57d-b74ca337e4a3.pdf&downloadedFileName=9+Pricing+Instructions+print+on+yellow.pdf, https://www.etenders.gov.za/home/Download/?blobName=0630de5f-6fd1-48e5-9f54-c3240fdfb6ec.pdf&downloadedFileName=5+List+of+returnables+print+on+yellow.pdf, https://www.etenders.gov.za/home/Download/?blobName=272c05d8-e4d0-470a-a9db-e5a174908d4a.pdf&downloadedFileName=4+Returnable+Documents+Cover+page+white+page.pdf"
Education,Appointment of a panel of accredited training service providers to render various training interventions and/or programmes to Nkangala District Municipality for a period of thirty six (36) months,18/08/2023,120543,Nkangala District Municipality,Request for Bid(Open-Tender),Mpumalanga,18.08.2023,18.09.2023,2A Walter Sisulu Street - Middelburg - Mpumalanga - 1050,N/A,Mr MJ Nhlapho-Corporate Serivess,nhlaphomj@nknagaladm.gov.za,013-249-2077,013-249-2000,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=d6076f44-4010-4f27-8c36-05a04bf19509.pdf&downloadedFileName=6+The+Contract+White+Page.pdf, https://www.etenders.gov.za/home/Download/?blobName=fb106363-115f-4185-9cc4-2a01da539f3a.pdf&downloadedFileName=7+Form+of+Offer+and+Acceptance+yellow+page.pdf, https://www.etenders.gov.za/home/Download/?blobName=e5a97caf-ff3a-4974-8ae1-791583447218.pdf&downloadedFileName=4+Returnable+Documents+Cover+page+white+page.pdf, https://www.etenders.gov.za/home/Download/?blobName=ff32fec7-56ef-4996-884d-7ea0c29450eb.pdf&downloadedFileName=2+Contents++Notice+print+on+white.pdf, https://www.etenders.gov.za/home/Download/?blobName=0e3c8472-fe35-4e60-b4ed-909c9baefa63.pdf&downloadedFileName=10+Bill+of+Quantities+-+SCM.pdf, https://www.etenders.gov.za/home/Download/?blobName=b2159870-16e7-4107-9b9c-a167ae45dc2a.pdf&downloadedFileName=5+List+of+returnables+print+on+yellow.pdf, https://www.etenders.gov.za/home/Download/?blobName=8de85d5a-b5c6-41d0-9c0e-a8d89c068fda.pdf&downloadedFileName=11+Scope+of+Work+Blue+page.pdf, https://www.etenders.gov.za/home/Download/?blobName=c71579f4-1774-4036-a087-ca569d22dfad.pdf&downloadedFileName=1+COVER+PAGE+Print+in+colour.pdf, https://www.etenders.gov.za/home/Download/?blobName=ca3ed037-3c1d-449b-877a-e18a49927bb2.pdf&downloadedFileName=3+Tender+data+print+on+pink.pdf, https://www.etenders.gov.za/home/Download/?blobName=2ffabf63-238c-479b-a3e2-eab165d2eb7f.pdf&downloadedFileName=9+Pricing+Instructions+print+on+yellow.pdf, https://www.etenders.gov.za/home/Download/?blobName=de123991-80db-432d-bc1b-f1e983f542b0.pdf&downloadedFileName=8+Contract+Data.pdf"
Manufacture of furniture,Supply and delivery of new office furniture and equipment for Dr JS Moroka fire station services (re-advert),18/08/2023,57496 Re-Advert,Nkangala District Municipality,Request for Bid(Open-Tender),Mpumalanga,18.08.2023,04.09.2023,2A Walter Sisulu Street - Middelburg - Mpumalanga - 1050,N/A,Mr  MR Ramohale,ramohalemr@nkangaladm.gov.za,013-249-3024,013-249-2000,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=b347aaf6-c3d9-44ff-a283-3edf1ff5fe8f.pdf&downloadedFileName=1+COVER+PAGE+Print+in+white.pdf
Services: Professional,APPOINTMENT OF PANELS OF BUILT ENVIRONMENT CONSULTANTS TO PROVIDE ELECTRICAL ENGINEERING PROFESSIONAL SERVICES FOR INFRASTRUCTURE PROJECTS UNDERTAKEN BY THE DEPARTMENT FOR A PERIOD OF 36 MONTHS,18/08/2023,H23/009AI,Public Works,Request for Proposal,National,18.08.2023,19.09.2023,"The National Department of Public Works, CGO Building, Bosman and Madiba street  Pretoria Central  - Pretoria - Pretoria - 0001","NB: Bidders must be registered on National Treasury Supplier Database (CSD)
NB: Number of consulting firms to be appointed per cluster groupings: Cluster 1(Free State & Northern Cape: Category A,B,C,D & E) Cluster 2 (Limpopo, Gauteng, Mpumalanga & North West Category A,B,C,D & E) Cluster 3 (Kwa-zulu Natal: Category A,B,C,D & E) Cluster 4 (Eastern Cape: Category A,B,C,D & E) & Cluster 5 (Western Cape: Category A,B,C,D & E)",Shirley Monageng/ Horisani Mudzivane,shirley.monageng@dpw.gov.za,012-406-1819,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=69da8211-d519-4221-a6ec-c10735c27c7a.pdf&downloadedFileName=H23+009AI.pdf
Other service activities,MAINTENACE OF PLUMBING INFRUSTRUCTURE FOR AS AND WHEN REQUIRED AT VARIUOS RAND WATER SITES,18/08/2023,RFQ10401463,Rand Water,Request for Quotation,Gauteng,18.08.2023,07.09.2023,522 Impala Rd - Johannesburg South - Rietvlei - 2058,Please note quotations must be submitted to scmquotations@randwater.co.za,Nkululeko Mkhabela,nmkhabel@randwater.co.za,011-682-7223,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=d8063382-d172-4355-875e-c9004c00d41c.zip&downloadedFileName=10401463.zip
Services: Professional,TERMS OF REFERENCE (ToR) FOR ORACLE TECHNICAL SUPPORT RENEWAL FOR A PERIOD OF 36 MONTHS,18/08/2023,CCMA/2023/05-ICT,Commission for Conciliation Mediation & Arbitration,Request for Proposal,National,18.08.2023,08.09.2023,"CCMA National Office, 28 Harrison Street, JCI Building, 8th Floor - MarshallTown - Johannesburg - 2001","COMPULSORY BRIEFING SESSION:
IT IS COMPULSORY FOR THE BIDDERS TO SEND AN EMAIL TO: 
Tenderenquiries@ccma.org.za
 ON OR BEFORE 24th of August 2023 16H00 IN ORDER TO BE ALLOCATED THE COMPULSORY BRIEFING SESSION LINK.
FAILURE TO ATTEND THE VIRTUAL BRIEFING SESSION WILL LEAD TO DISQUALIFICATION OF THE BID",Phathutshedzo Mulandana,Tenderenquiries@ccma.org.za,011-377-6717,N/A,Yes,Yes,"Friday, 25 August 2023 - 11:00",MS TEAMS LINK,https://www.etenders.gov.za/home/Download/?blobName=9a987111-ea14-4906-9060-eed57ac1a2ac.pdf&downloadedFileName=BID+DOCUMENT+-+Terms+of+Reference+%28ToR%29+for+the+Oracle+Technical+Support+Renewal+for+a+period+of+36+months.pdf
Other service activities,"Rietspruit WWTW Sub station repairs, Emfuleni section 63",18/08/2023,RFQ10406127,Rand Water,Request for Quotation,Gauteng,18.08.2023,07.09.2023,522 Impala Rd - Johannesburg South - Rietvlei - 2058,Quotations must be submitted to: scmquotations@randwater.co.za,Nkululeko Mkhabela,nmkhabel@randwater.co.za,011-682-7223,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=fa220a26-b544-40bd-9372-1386fbf3a585.pdf&downloadedFileName=10406127+RWSCM00019F-Rev03-RequestforQuotation%28CIDB%29-RietspruitWWTWSubstation_20230817080623.633_X.pdf
Services: Professional,Agulhas Lighthouse Precinct Restaurant with takeaway and a Curio Retail Shop PPP in the Agulhas National Park,18/08/2023,PPP AGULHAS,South African National Parks,Request for Proposal,Western Cape,18.08.2023,05.12.2023,643 Leyds Street - Muckleneuk - Pretoria - 0002,"All interested Bidders are required to register by the day before for the site visit by sending their Names, Company, Contact telephone, fax number, and email to Wendy Davids, Email: wendy.davids@sanparks.org",Wendy Davids,wendy.davids@sanparks.org,021-659-1706,N/A,Yes,NO,"Wednesday, 30 August 2023 - 11:00",MS Teams,"https://www.etenders.gov.za/home/Download/?blobName=dd24c63b-9997-4cf0-b963-08850fee51b1.pdf&downloadedFileName=Info+Memo+-+ANP+Lighthouse+Precinct+Restaurant+and+Retail-+1+June+2023+.pdf, https://www.etenders.gov.za/home/Download/?blobName=84ff2e43-bbba-41fa-afc0-0e9cb5a0ef21.pdf&downloadedFileName=Annexure+A+Agulhas+Park+Management+Plan.pdf, https://www.etenders.gov.za/home/Download/?blobName=cb7b2e33-9e7c-45e2-a4c2-1eb4379c69ac.pdf&downloadedFileName=Memo.pdf, https://www.etenders.gov.za/home/Download/?blobName=a119f810-d75d-4547-b529-3b5dd356cad2.pdf&downloadedFileName=Master+PPP+Agreement+ANP+Restaurant+PPP.pdf, https://www.etenders.gov.za/home/Download/?blobName=6a07aef4-67f7-4be3-b561-68cf782e3a4f.pdf&downloadedFileName=RFP+ANP+Lighthouse+Precinct++Restaurant+PPP+June+2023.pdf, https://www.etenders.gov.za/home/Download/?blobName=ee1d2060-2bb7-4bed-8bdc-83b72b4e0345.pdf&downloadedFileName=Annexure+B++Building+plans+for+Restaurant%2C+curio+retail+and+vendor+stalls.pdf, https://www.etenders.gov.za/home/Download/?blobName=bcbd3ff8-9b21-4047-b032-a1d9a527971e.pdf&downloadedFileName=RFP+ANP+Lighthouse+Precinct++Retail+Curio+Shop+PPP+June+2023.pdf, https://www.etenders.gov.za/home/Download/?blobName=c6cabbfb-a872-44f2-9a91-a6b99a104722.pdf&downloadedFileName=Master+PPP+Agreement+ANP+Retail+PPP.pdf, https://www.etenders.gov.za/home/Download/?blobName=d0f3c910-87fe-4480-b97f-f74cf601bb48.pdf&downloadedFileName=Advertisement-ANP+Precinct+June+2023.pdf"
Other service activities,F25 & Q5 Cross Connection at Waterval Reservoir Site,18/08/2023,RFQ10406386,Rand Water,Request for Quotation,Gauteng,18.08.2023,07.09.2023,522 Impala Rd - Johannesburg South - Rietvlei - 2058,Quotations must be submitted to: scmquotations@randwater.co.za,Nkululeko Mkhabela,nmkhabel@randwater.co.za,011-682-7223,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=f936540d-e28d-46b8-b59f-584b0049e102.zip&downloadedFileName=10406386.zip
Services: Electrical,"APPOINTMENT OF CONTRACTOR FOR DESIGN, SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF INVERTOR BATTERY BACKUP / SOLAR SYSTEM IN EASTERN CAPE PROVINCE REGION ONE (01) FOR THE PERIOD OF THREE (03) YEARS.",18/08/2023,19/1/9/1/24TB(23),South African Police Service,Request for Bid(Open-Tender),Eastern Cape,18.08.2023,13.09.2023,117 Cresswell Road - Silverton - Pretoria - 0184,Required CIDB grading of grade 5EP (Electrical Engineering Works - Infrastructure) or higher.,Kenneth Mohlala,MohlalaKK@saps.gov.za,012-841-7358,N/A,Yes,Yes,"Tuesday, 29 August 2023 - 11:00","SAPS SCM Eastern Cape Provincial Office, Griffith Mxenge Hall, Buffalo Road, Zwelitsha, Esatern Cape","https://www.etenders.gov.za/home/Download/?blobName=6b856b17-8ade-4ef8-8b44-1807fae87e0c.pdf&downloadedFileName=24TB%2823%29+page+01+to+48+of+144.pdf, https://www.etenders.gov.za/home/Download/?blobName=06c8c7d2-ad58-4f6a-8d16-4932800f05fc.pdf&downloadedFileName=24TB%2823%29+page+49+to+97+of+144.pdf, https://www.etenders.gov.za/home/Download/?blobName=3eaa54b0-fb37-4db0-a138-672cf64c5169.pdf&downloadedFileName=24TB%2823%29+page+98+to+144+of+144.pdf"
Services: Professional,"Renewal Of Citrix Licenses For The Department Of Employment And Labour, Including Maintenance And Support For A Period Of Twelve (12) Months.",18/08/2023,RFB 2791/2023,State Information Technology Agency,Request for Bid(Open-Tender),Gauteng,18.08.2023,08.09.2023,215 Francis Baard Street - Pretoria Central - Pretoria - 0001,N/A,Nomfanelo Dyam,Nomfanelo.Dyam@sita.co.za,012-482-3105,N/A,Yes,NO,"Friday, 25 August 2023 - 10:00",Microsoft Teams,"https://www.etenders.gov.za/home/Download/?blobName=e4f0add5-1521-48c6-80eb-05e80759de06.pdf&downloadedFileName=RFB+2791-2023+Fraud+and+Corruption+notice+to+bidders+Aug+2022.pdf, https://www.etenders.gov.za/home/Download/?blobName=9204625a-2edf-49c4-9ccb-714af49ff884.docx&downloadedFileName=Annexure+7+-+RFB+2791_2023+Invitation+to+bid+-+CITRIX_Approved.docx, https://www.etenders.gov.za/home/Download/?blobName=0fb30bd8-8595-475b-b375-77763eca1bc6.docx&downloadedFileName=Annexure+6+-+RFB+2791_2023+Bid+Specification_Software+Licensing+for+Citrix+_LOB+Approval.pdf.docx, https://www.etenders.gov.za/home/Download/?blobName=51a111af-742a-48e8-be98-8681d44d194c.pdf&downloadedFileName=Annexure+8+-+Invitation+to+Bid+Letter_RFB+2791_2023.pdf, https://www.etenders.gov.za/home/Download/?blobName=f01adf98-951f-4e2c-8527-bc6f9f166ec5.xlsx&downloadedFileName=RFB+2791-2023+Annexure+9+-+INC22924930_Final_Pricing+Schedule_Software+Licensing+for+Citrix+licenses_F04.xlsx"
Services: General,"APPOINTMENT OF A SERVICE PROVIDER TO MANAGE THE DISBURSEMENT OF VENTURE CAPITAL FUND BY ASSISTING SMALL MEDIUM MICRO ENTERPRISES (SMMES) THAT DO BUSINESS IN THE ARTS,CULTURE AND HERITAGE SECTOR TO MEET FINANCIAL GOALS AND HELP THEM TO BECOME SKILLED BUSINESS OWNERS BY PROVIDING FINANCE FOR A PERIOD OF FIVE(5 )YEARS.",18/08/2023,DSAC 07/23-24,"Department of Sports, Arts & Culture",Request for Bid(Open-Tender),National,18.08.2023,21.09.2023,202 Sechaba House - Pretoria - Pretoria - 0001,N/A,Ms. Zandile Mzazi,zandilem@dsac.gov.za,079-510-2488,N/A,Yes,NO,"Friday, 25 August 2023 - 10:00",http://bitly.ws/RiAE,https://www.etenders.gov.za/home/Download/?blobName=d27d6497-692b-44a1-8418-d7cdba1d0993.pdf&downloadedFileName=DSAC+07+23+24.pdf
Other service activities,"SUPPLY, DELIVERY, CONSTRUCTION, TESTING, COMMISSIONING AND PUT INTO OPERATION OF THE NEW KLIPFONTEIN VIEW METER CONNECTION CONCRETE CHAMBER",18/08/2023,RFQ10406190,Rand Water,Request for Quotation,Gauteng,18.08.2023,07.09.2023,522 Impala Rd - Johannesburg South - Rietvlei - 2058,Please note quotations must be submitted to: scmquotations@randwater.co.za,Nkululeko Mkhabela,nmkhabel@randwater.co.za,011-682-7223,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=9f0909f6-a28c-486b-a040-81de820d8f0e.zip&downloadedFileName=10406190.zip
Services: Electrical,"APPOINTMENT OF CONTRACTOR FOR DESIGN, SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF INVERTOR BATTERY BACKUP / SOLAR SYSTEM IN EASTERN CAPE PROVINCE REGION TWO (02) FOR THE PERIOD OF THREE (03) YEARS.",18/08/2023,19/1/9/1/25TB(23),South African Police Service,Request for Bid(Open-Tender),Eastern Cape,18.08.2023,13.09.2023,117 Cresswell Road - Silverton - Pretoria - 0184,Required CIDB grading of grade 5EP (Electrical Engineering Works - Infrastructure) or higher.,Kenneth Mohlala,MohlalaKK@saps.gov.za,012-841-7358,N/A,Yes,Yes,"Tuesday, 29 August 2023 - 11:00","SAPS SCM Eastern Cape Provincial Office, Griffith Mxenge Hall, Buffalo Road, Zwelitsha, Esatern Cape","https://www.etenders.gov.za/home/Download/?blobName=58fc1056-a147-4eb1-bfd1-2acf6307c2e7.pdf&downloadedFileName=25TB%2823%29+page+01+to+48+of+144.pdf, https://www.etenders.gov.za/home/Download/?blobName=bdc191ce-0c8e-4013-8c10-c05370f40a72.pdf&downloadedFileName=25TB%2823%29+page+98+to+144+of+144.pdf, https://www.etenders.gov.za/home/Download/?blobName=052af6b1-9ede-497b-b1be-f95eaa893db7.pdf&downloadedFileName=25TB%2823%29+page+49+to+97+of+144.pdf"
"Electricity, gas, steam and air conditioning",APPOINTMENT OF A PANEL OF ELECTRICAL CONTRACTORS FOR A PERIOD OF THREE (03) YEARS AS AND WHEN REQUIRED.,18/08/2023,RFP 142/08/2023,Lejweleputswa District Municipality,Request for Proposal,Free State,18.08.2023,25.08.2023,Cnr Tempest and Jan Hofmeyer Road - Jim Fouche park - Welkom - 9460,N/A,Mr. Brian Lehlekiso,brian@lejwe.co.za,057-101-0187,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=7309bf08-45ac-4d11-ac63-d4aa4c189482.pdf&downloadedFileName=RFP+142-08-2023-Tender-Document-Panel-of-Electrical+Contractors.pdf
Supplies: General,"THE SUPPLY, DELIVERY, INSTALLATION, COMMISIONING AND MAINTENANCE OF GAS STERILISER UNIT 5XL OR EQUIPMENT AT VARIOUS INSTITUTIONS FOR GAUTENG DEPARTMENT OF HEALTH FOR A PERIOD OF THREE YEARS",18/08/2023,GT/GDH/056/2023,Gauteng - Health,Request for Bid(Open-Tender),Gauteng,18.08.2023,08.09.2023,45 Commissioner Street - Marshalltown - JOHANNESBURG - 2000,Evaluation Methodology kindly refer: Section 1 page 23 of 62.,Jerry Phukuje/Mzimkhulu Gunundu,mzimkhulu.gunundu@gauteng.gov.za,011-241-5715,000-000-0000,Yes,Yes,"Friday, 25 August 2023 - 10:00",NURSING CONFERENCE ROOM DR GEORGE MUKHARI ACADEMIC HOSPITAL,"https://www.etenders.gov.za/home/Download/?blobName=2d66313b-1e36-443b-8282-0141c9ae4aba.pdf&downloadedFileName=GT+GDH+056+2023+SECTION+2.pdf, https://www.etenders.gov.za/home/Download/?blobName=64c16d78-c87e-417a-9bbd-20d6c174b4dd.xlsx&downloadedFileName=ANNEXURE+B+Pricing+Schedule+-+GAS+STERILISER+GT+GDH+056+2023.xlsx, https://www.etenders.gov.za/home/Download/?blobName=0c7a90ef-f103-45b4-8332-5e221b8d7a2d.xlsx&downloadedFileName=ANNEXURE+A+Spec+Gas+Steriliser+GT+GDH+056+2023.xlsx, https://www.etenders.gov.za/home/Download/?blobName=28ac50c0-b256-40f0-a466-b0b607e1ca03.pdf&downloadedFileName=GT+GDH+056+2023+SECTION+1.pdf"
