Services,Description,Date,Tender Number,Department,Tender Type,Province,Date published,Closing date,Place where service will be required,Special conditions,Contact person,Contact email,Contact phone,Contact fax,Briefing Session,Is briefing required,Briefing date and time,Briefing venue,Tender documents
Construction,Upgrading of roads and stormwater infrastructure in beafort west,25/08/2023,SCM 11/2024,Beaufort West Municipality,Request for Bid(Open-Tender),Western Cape,25.08.2023,29.09.2023,,N/A,Courtney,courtneye@beaufortwestmun.co.za,023-414-8177,N/A,Yes,Yes,"Thursday, 14 September 2023 - 11:00","Beaufort West Municipality Thusong Centre,  03 De Vries Street, Beaufort West",https://www.etenders.gov.za/home/Download/?blobName=104c05db-1ba2-4a71-9dc3-15867b576e04.pdf&downloadedFileName=ADVERT+SCM+11-2024.pdf
Services: Professional,Domestic survey,25/08/2023,SAT 226/23,South African Tourism,Request for Proposal,Gauteng,25.08.2023,26.09.2023,"90 Protea Road - Chislehurston,  - Sandton - 2062","Bid proposals are to be submitted on the below link

https://forms.gle/mTrsukHbwkZxUAF6A
 
Should bidders encounter any issues, queries must be directed in writing to tenders@southafrica.net
Bidders are required to complete all the fields before making a submission, on the link before uploading a PDF version of the full proposal, the details are as follows: Bidder/Company name, bidder’s representative, contact details (email and mobile) then a fully completed bid documents, signed and initial page, relevant supporting documents for uploads.
No tenders transmitted by telegram, hand delivery telex, facsimile, e-mail, or similar apparatus will be considered.",Pulane Muligwa,tenders@southafrica.net,011-895-3016,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=60c72e81-b3c8-43fa-b3b7-57d73d4cb1fc.pdf&downloadedFileName=PART+C-TENDER+EVALUATION+PROCESS+-DOMESTIC+SURVEY+226-23vf.pdf, https://www.etenders.gov.za/home/Download/?blobName=8695ca27-5b96-4d8a-b0a7-b24cb2233a88.pdf&downloadedFileName=PART+A-+GENERAL+TENDER+CONDITIONS-+SAT+226-23+DOMESTIC+SURVEY+vf.pdf, https://www.etenders.gov.za/home/Download/?blobName=0b3b10c9-67df-4bb3-9db2-be3d201df328.pdf&downloadedFileName=PART+B-SCOPE+OF+WORK-DOMESTIC+SURVEY+-SAT226-23vf.pdf"
Civil engineering,For the upgrading of dr08004 (km 0.0 to km 7.2) and the periodic maintenance of dr08158 (km 0.0 to km 3.4),25/08/2023,CONTRACT SANRAL R.061-080-2013/3D-1,South African National Roads Agency Soc Limited (SANRAL),Request for Bid(Open-Tender),Eastern Cape,25.08.2023,06.10.2023,20 Shoreward Drive - Port Elizabeth - Port Elizabeth - 6025,N/A,Procurement Officer,Procurementsr1@sanral.co.za,041-398-3200,N/A,Yes,NO,"Tuesday, 05 September 2023 - 10:00",Virtual,https://www.etenders.gov.za/home/Download/?blobName=2f971a41-53c1-41b8-98c4-0f149d3e02a4.pdf&downloadedFileName=Contract+SANRAL+R061-080-2013_3D-1+-+DR08004+and+DR08158+-+Vol+3+Book+1+of+3.pdf
Civil engineering,For consulting engineering services for the improvement on national route 10 section 1 between paterson (km 22) and olifantskop pass (km 37),25/08/2023,CONTRACT SANRAL N.010-010-2027/2F,South African National Roads Agency Soc Limited (SANRAL),Request for Bid(Open-Tender),Eastern Cape,25.08.2023,29.09.2023,20 SHOREWARD DRIVE - PORT ELIZABETH - PORT ELIZABETH - 6025,"Only tenderers who are registered on the National Treasury Central Supplier Database and meet the minimum requirements for the key persons as stipulated in Clause C.2.1 at the tender closing date, are eligible to tender.
Joint Ventures (JV) will be allowed on condition that one JV partner is a Targeted Enterprise. The JV partner will, however, not contribute to sub-contract target for Targeted Enterprises.",Procurement Officer,ProcurementSR4@sanral.co.za,041-398-3265,N/A,Yes,NO,"Monday, 11 September 2023 - 11:00",Vitrual,https://www.etenders.gov.za/home/Download/?blobName=948d6c12-19b4-433f-b7c9-8a5fd4dd26fb.zip&downloadedFileName=N.010-010-2027.2.zip
Services: General,Supply and delivery of 2000 x pack of 20 garden refuse bags.,25/08/2023,4/1/1/2023-24,Moqhaka Local Municipality,Request for Quotation,Free State,25.08.2023,01.09.2023,Hill Street - Kroonstad - Kroonstad - 9499,"The complete bid document can be acquired from the SCM office at the Moqhaka Local Municipality Main Building after payment of the non-refundable fee of R150 by the cashiers. Alternatively bidders can make an EFT payment to the Municipality, then forward the Proof of payment via email to the SCM office at: moqhakascm@gmail.com, after which the complete bid document will be forwarded to the bidder. Banking details can be found on the attached RFQ Advertisement.",Ms. H de Bruin,helena@moqhaka.gov.za,056-216-9260,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=86e3d692-d688-4d78-b8fd-a53670f9a813.pdf&downloadedFileName=RFQ+Advert+-+Supply+and+delivery+of+2000+x+pack+of+20+garden+refuse+bags.pdf
Disposals: General,Lease of space - suurbraak business hub (erf 310)(re-advertisement),25/08/2023,SMT10/23/24_,Swellendam Municipality,Request for Bid(Open-Tender),Western Cape,25.08.2023,08.09.2023,11 Lind Street - Swellendam - Swellendam - 6740,N/A,Jason Scholtz,scm@swellendam.gov.za,028-514-8500,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=a8631a72-6dee-4842-bb80-753c06d248b5.pdf&downloadedFileName=SMT10-23-24_Advert%28Re+Advertisement%29.pdf
Services: General,Supply and delivery of weed killer.,25/08/2023,4/1/2/2023-24,Moqhaka Local Municipality,Request for Quotation,Free State,25.08.2023,01.09.2023,Hill Street - Kroonstad - Kroonstad - 9499,"The complete bid document can be acquired from the SCM office at the Moqhaka Local Municipality Main Building after payment of the non-refundable fee of R150 by the cashiers. Alternatively bidders can make an EFT payment to the Municipality, then forward the Proof of payment via email to the SCM office at: moqhakascm@gmail.com, after which the complete bid document will be forwarded to the bidder. Banking details can be found on the attached RFQ Advertisement.",Ms. H de Bruin,helena@moqhaka.gov.za,056-216-9260,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=39ce058c-a636-414e-86ae-237ad4ec4584.pdf&downloadedFileName=RFQ+Advert+-+Supply+and+delivery+of+weed+killer.pdf
Disposals: General,Provision of real-time situational awareness and other aerial reconnaissance from a manned aircraft platform.,25/08/2023,32S/2023/24,City of Cape Town,Request for Proposal,Western Cape,25.08.2023,26.09.2023,"Tender Office, 2nd Floor, Concourse Level, Civic Centre, - 12 Hertzog Boulevard - Cape Town - 8000","The tender document is available on the City of Cape Town website. 
The tender document is available on the City of Cape Town website. Bids must be compliant with the Preferential Procurement Regulations, 2022 including but not limited to functionality, price and preference, eligibility criteria and relevant statutory criteria. The details of this are contained in the tender document.",Ricardo Fourie,Ricardo.Fourie@capetown.gov.za,021-440-1640,N/A,Yes,Yes,"Friday, 08 September 2023 - 12:00","MWEB Building, MWEB Auditorium, 100 Fairways Close, Parow",https://www.etenders.gov.za/home/Download/?blobName=a7565b88-a8b1-4e1e-b027-38a29848ec17.pdf&downloadedFileName=Tender+32_2022_23+Final+tender+document.pdf
Services: General,"Supply and deliver a dome tent with gazebo with accessories, three plastic foldable tables and four camping chairs for solid waste management awareness campaigns.",25/08/2023,4/1/3/2023-24,Moqhaka Local Municipality,Request for Quotation,Free State,25.08.2023,01.09.2023,Hill Street - Kroonstad - Kroonstad - 9499,"The complete bid document can be acquired from the SCM office at the Moqhaka Local Municipality Main Building after payment of the non-refundable fee of R150 by the cashiers. Alternatively bidders can make an EFT payment to the Municipality, then forward the Proof of payment via email to the SCM office at: moqhakascm@gmail.com, after which the complete bid document will be forwarded to the bidder. Banking details can be found on the attached RFQ Advertisement.",Mr.  T.A Qhena,tokeloq@moqhaka.gov.za,056-216-9271,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=4bd73f4f-a5ca-4213-a4b2-729b69fa3ae6.pdf&downloadedFileName=RFQ+Advert+-+Supply+and+deliver+a+dome+tent+with+gazebo+and+accesories..pdf
Employment activities,"Provision of recruitment agency services for appointment of senior manager
(re-adverisement)",25/08/2023,SMQ07/23/24_,Swellendam Municipality,Request for Quotation,Western Cape,25.08.2023,01.09.2023,11 Lind Street - Swellendam - Swellendam - 6740,N/A,Jason Scholtz,jscholtz@swellenmun.co.za,028-514-8500,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=020fa302-08e4-4372-88f4-84232ca0a2ee.pdf&downloadedFileName=SMQ07-23-24_Provision+of+Recruitment+Agency+Services_Bid+doc.pdf, https://www.etenders.gov.za/home/Download/?blobName=e3f708db-2af8-4ccb-8072-c96ddec7147a.pdf&downloadedFileName=SMQ07-23-24_Advert%28Re+Advertisement%29.pdf"
Disposals: General,Auctioneering services for the disposal of municipal assets,25/08/2023,scm023/2022/23 (Re-Advert),Mafube Local Municipality,Request for Quotation,Free State,25.08.2023,31.08.2023,64 JJ Hadebe Street - Frankfort - Frankfort - 9830,N/A,Mrs. Maleshwane Ngozo,supplychain@mafube.gov.za,071-688-2892,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=c0039550-e89c-4ed6-b8c1-aaa196abe99d.pdf&downloadedFileName=Re-Advert.pdf
Manufacture of electrical equipment,"Manufacture, testing, supply and delivery of mv hrc current limiting fuse links",25/08/2023,36G/2023/24,City of Cape Town,Request for Bid(Open-Tender),Western Cape,25.08.2023,26.09.2023,12 Hertzog Boulevard - Cape Town - Cape Town - 8000,N/A,Gideon van Zyl,gideon.vanzyl@capetown.gov.za,021-444-8767,N/A,Yes,NO,"Thursday, 07 September 2023 - 10:00",https://meet.capetown.gov.za/gideonjohannes.vanzyl/ZHP1M936,https://www.etenders.gov.za/home/Download/?blobName=5c48d75d-a5dc-441d-94b1-397c4cc2cb09.pdf&downloadedFileName=36G202324-MV+HRC+Fuses-Final.pdf
Supplies: General,Supply and delivery of lubricating & hydraulic oils for a one (1) year period,25/08/2023,SMQ08/23/24,Swellendam Municipality,Request for Quotation,Western Cape,25.08.2023,01.09.2023,11 Lind Street - Swellendam - Swellendam - 6740,N/A,Jason Scholtz,scm@swellendam.gov.za,028-514-8500,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=2c8aa6f1-232d-41cb-b807-87471233e2f6.pdf&downloadedFileName=SMQ08-23-24_Supply+and+Delivery+of+Lubricating+%26+Hydraulic+Oils_Bid+doc.pdf, https://www.etenders.gov.za/home/Download/?blobName=0d29b601-8cf8-45c5-bd77-ef91b49df009.pdf&downloadedFileName=SMQ08-23-24_Advert.pdf"
Manufacture of electrical equipment,"Manufacture, testing, supply, delivery and offloading of insulated hard-drawn copper overhead cable, hard drawn copper overhead conductor and anti-theft earthing conductor",25/08/2023,34G/2023/24,City of Cape Town,Request for Bid(Open-Tender),Western Cape,25.08.2023,27.09.2023,12 Hertzog Blvd - Cape Town - Cape Town - 8001,Tender fee of R200,Phillipus Jacobs,Phillipus.jacobs@capetown.gov.za,021-444-8769,000-000-0000,Yes,NO,"Monday, 04 September 2023 - 12:00",https://meet.capetown.gov.za/phillipus.jacobs/8307yjyq,https://www.etenders.gov.za/home/Download/?blobName=4a9abeb7-9804-4c91-866f-60884671bbec.pdf&downloadedFileName=034G_2023_24_OH+and+Earthing+conductor_Final.pdf
Other manufacturing,"Purchasing agreement for supply of locks, keys and hinges for kzn metrorail over a period of twenty-four (24) months (as and when required)",25/08/2023,KZN/RAIL/2023/08/04/Q,Passenger Rail Agency of South Africa,Request for Quotation,KwaZulu-Natal,25.08.2023,06.09.2023,"PRASA KZN, 65 MASABALALA YENGWA AVENUE, GREYVILLE, DURBAN STATION, ROOF LEVEL ENTRANCE - DURBAN - DURBAN - 4001","DOCUMENTS TO BE SUBMITTED WITH THIS TENDER
The supplier must submit in writing (on a signed company letterhead) with this tender, acknowledging that: 
oThe technical specifications of the products listed in the tender document will be met.  
oNon-conformances will be closed within 10 days
oAlternate products will not constitute to modification of present working systems",SABELO MDLULI,sabelo.mdluli@prasa.com,031-813-0082,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=b8da949f-9dc1-4262-9012-1525a3234f61.pdf&downloadedFileName=DRAWINGS+-+SUPPLY+OF+LOCKS%2C+KEYS+AND+HINGES+FOR+KZN+METRORAIL+OVER+A+PERIOD+OF+24+MONTHS.pdf, https://www.etenders.gov.za/home/Download/?blobName=8184322a-1402-4d91-977a-96990ff0a740.pdf&downloadedFileName=RFQ+-+SUPPLY+OF+LOCKS%2C+KEYS+AND+HINGES+FOR+KZN+METRORAIL+OVER+A+PERIOD+OF+TWENTY-FOUR+%2824%29+MONTHS.pdf"
Civil engineering,Contract sanral r.031-080-2024/2f: consulting engineering services for the improvement of national route r31 section 8 from r31/n8 roundabout (km 31.0) to r31/n8 i/s (km 39.79),25/08/2023,R.031-080-2024/2F,South African National Roads Agency Soc Limited (SANRAL),Request for Proposal,Northern Cape,25.08.2023,06.10.2023,"1 Havenga Street - Oakdale, Bellville - Cape Town - 7530","Only tenderers who are registered on the National Treasury Central Supplier Database and meet the minimum requirements for the key persons as stipulated in Clause C.2.1 at the tender closing date, are eligible to tender.",Procurement Officer,ProcurementWR6@sanral.co.za,021-957-4600,N/A,Yes,Yes,"Tuesday, 05 September 2023 - 10:00","SANRAL Western Region offices at 1 Havenga Street, Oakdale, Bellville",https://www.etenders.gov.za/home/Download/?blobName=3d0fc14d-e061-4f38-8048-e1745ea890d9.pdf&downloadedFileName=E-tender+Notice+CONTRACT+SANRAL+R.031-080-2024_2F.pdf
Food and beverage service activities,mm013 of 2023 : supply of venue & catering services for the chief audit executives & chief risk officers forums on the 19-20 september 2023,25/08/2023,MM013 OF 2023,George Municipality,Request for Bid(Limited-Tender,Western Cape,25.08.2023,04.09.2023,71 York Street - CBD - GEORGE - 6529,N/A,Mr. JP Rossouw,jprossouw@george.gov.za,044-878-9372,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=76db0ad1-9b15-44e5-bb27-91067e21888d.pdf&downloadedFileName=MM013_2023+Final.pdf
Other manufacturing,Procurement of em01 trainset keys for kzn metrorail,25/08/2023,PR 10341824,Passenger Rail Agency of South Africa,Request for Quotation,KwaZulu-Natal,25.08.2023,06.09.2023,"PRASA KZN, 65 MASABALALA YENGWA AVENUE, GREYVILLE, DURBAN STATION, ROOF LEVEL ENTRANCE - DURBAN - DURBAN - 4001","DOCUMENTS TO BE SUBMITTED WITH THIS TENDER
The supplier must submit in writing (on a signed company letterhead) with this tender, acknowledging that: 
oThe technical specifications of the products listed in the tender document will be met.  
oNon-conformances will be closed within 10 days
oAlternate products will not constitute to modification of present working systems",SABELO MDLULI,sabelo.mdluli@prasa.com,031-813-0082,031-813-0082,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=01af0b5a-9ce9-47a5-a1b2-12128248b542.pdf&downloadedFileName=RFQ+-+PROCUREMENT+OF+EM01+TRAINSET+KEYS+FOR+KZN+METRORAIL.pdf, https://www.etenders.gov.za/home/Download/?blobName=0954a6d1-5ea2-4b85-a86a-376a35aed19c.pdf&downloadedFileName=DRAWING+2+-+RTS-OL-0002+DRIVERS+MASTER+KEY.pdf, https://www.etenders.gov.za/home/Download/?blobName=d21bb41d-fdf0-4b26-aafd-5a4b99b09ada.pdf&downloadedFileName=DRAWING+1+-+RTS-OL-0001.idw.pdf"
Supplies: General,Supply and delivery of (grade4-7) coding and robotics kits for the free state department of education primary schools,25/08/2023,E8/2023/2024,Free State - Education,Request for Bid(Open-Tender),Free State,25.08.2023,15.09.2023,,"This bid is aimed at advancing the following specific goals:
-Black-Owned Businesses = 10Points
-Businesses located in the Free State Province = 10Points
For Technical Enquires please contact: TJ Tsoai on Tel: 051 404 4310 or 076 061 3777 or via email: tj.tsoai@fseducation.gov.za",KO Rampai,k.rampai@fseducation.gov.za,051-404-1873,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=86b6fdbe-559a-43b0-bbfe-3fa8015bf3bc.pdf&downloadedFileName=E8-2023-2024+BID+DOCUMENT+25AUGUST2023.pdf
Construction,"De aar and surrounding area:  service, maintenance and repair of low voltage installation  at various clients for 24 months.",25/08/2023,ID-3148854,Public Works,Request for Bid(Open-Tender),Northern Cape,25.08.2023,15.09.2023,"21- 23 Market Street, Old Magistrate Office - Kimberley - Kimberley - 8300",N/A,Ms G Aysen,gail.aysen@dpw.gov.za,053-838-5221,N/A,Yes,Yes,"Tuesday, 05 September 2023 - 12:00",VIRTUAL MICROSOFT TEAMS:  ID 367 494 188 395. CODE: eEgusk,"https://www.etenders.gov.za/home/Download/?blobName=00217e2d-335d-48cc-8177-54029ba8ab1a.pdf&downloadedFileName=ID3148854.pdf+Part+1.pdf, https://www.etenders.gov.za/home/Download/?blobName=7c446e24-3866-45ec-8de0-d4618e5f8940.pdf&downloadedFileName=ID3148854.pdf+Part+2.pdf"
Civil engineering,Contract sanral n.001-120-2022/1-the periodic maintenance (resurfacing) of the colesberg interchange and of national route 1 section 12 from colesberg (km0. 00) to orange river (37.438) and section 13 (0.00) to (km 0.166),25/08/2023,CONTRACT SANRAL N.001-120-2022/1,South African National Roads Agency Soc Limited (SANRAL),Request for Proposal,Northern Cape,25.08.2023,06.10.2023,"1 Havenga Street - Oakdale, Bellville - Cape Town - 7530","Only tenderers who are registered on the National Treasury Central Supplier Database as stated in the Tender Data C.2.1.1, are eligible to tender.
It is estimated that tenderers should have a CIDB contractor grading designation of 8CE or higher, however tenderers attention is drawn to clause C.2.1.1 of the Tender Data when submitting their tender.
It is a requirement of this project that the successful tenderer subcontract a minimum of 40 percent (40 %) or higher as tendered of the work by the end of the contract to Targeted Enterprise(s) as defined in the Contract Data.",Procurement Office,ProcurementWR5@sanral.co.za,021-957-4600,021-957-4600,Yes,Yes,"Wednesday, 06 September 2023 - 11:00","21A Church Street, Colesberg, 9795 (Community Hall)",https://www.etenders.gov.za/home/Download/?blobName=ca63ee94-1294-49ee-b2f0-d79f85b28a13.pdf&downloadedFileName=NATIONAL+TREASURY+N.001-120-2022.1.pdf
Supplies: Medical,"The supply, delivery, installation, commissioning and maintenance of laser co2 and all tissue laser machines to various gauteng department of health institutions for the period of three years",25/08/2023,GT/GDH/054/2023,Gauteng - Health,Request for Bid(Open-Tender),Gauteng,25.08.2023,15.09.2023,45 Commissioner Street - Marshalltown - JOHANNESBURG - 2000,N/A,JEFFREY MAFUMO/ MASOTO MALELE,Jeffrey.Mafumo@gauteng.gov.za,011-241-5715,000-000-0000,Yes,Yes,"Friday, 01 September 2023 - 09:00",Wits Medical School MFOS Boardroom Level 4 Room 4L10,"https://www.etenders.gov.za/home/Download/?blobName=0675891b-d9af-4d7c-b8b6-1fb29246abf7.pdf&downloadedFileName=GT+GDH+054+2023+SECTION+2.pdf, https://www.etenders.gov.za/home/Download/?blobName=e40bab57-6b82-462c-879c-5dba0aa1f034.pdf&downloadedFileName=GT+GDH+054+2023+SECTION+1.pdf, https://www.etenders.gov.za/home/Download/?blobName=20900bc2-75bc-4c34-84b0-a120cb0225b0.xlsx&downloadedFileName=Annexure+A+Technical+Specification.xlsx, https://www.etenders.gov.za/home/Download/?blobName=7599b545-0f86-4e7e-b542-cf10b29ea7b7.xlsx&downloadedFileName=Annexure+B+Pricing+Schedule.xlsx"
